종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2021.06),추정PERlEPS,PBRlBPS (2021.06),배당수익률,동일업종 PER,동일업종 등락률,PERlEPS(2021.09),PBRlBPS (2021.09),배당수익률l2020.12,PERlEPS(2020.12),PBRlBPS (2020.12),PERlEPS(2021.08),PBRlBPS (2021.08),배당수익률l2020.11
셀트리온헬스케어 *,84400.0,400.0,-0.47%,84400.0,84500.0,311787.0,26477.0,637819.0,2021-11-25,셀트리온헬스케어,091990,4695.0,622.0,810.0,13.25,17.26,,,,,249.0,341.19,13774.0,6.16,,,,13조  689  억원,코스닥 1위,155028498,"1,000원  l  1주",155028498,25980483,16.76%,"4.00매수  l  104,714","177,100  l  78,400",,"72.00배  l  1,179원",,,86.54배,+0.10%,"77.98배  l  1,081원","6.38배  l  13,219원",,,,,,
동국제약 *,20400.0,100.0,-0.49%,20300.0,20350.0,44514.0,906.0,93374.0,2021-11-25,동국제약,086450,1546.0,164.0,,10.64,,,,,,281.0,77.82,,,,,,"9,070  억원",코스닥 81위,44460000,500원  l  1주,44460000,8304352,18.68%,"4.00매수  l  26,500","33,650  l  20,350","17.59배  l  1,160원",N/A  l  N/A,"2.12배  l  9,613원",,86.54배,+0.10%,,,0.88%,,,,,
동구바이오제약 *,7700.0,40.0,-0.52%,7660.0,7670.0,86946.0,669.0,56438.0,2021-11-25,동구바이오제약,006620,,,,,,,,,,,,,,,,,"2,192  억원",코스닥 457위,28464992,500원  l  1주,28464992,190277,0.67%,N/A  l  N/A,"16,074  l  7,510",,N/A  l  N/A,,,86.54배,+0.10%,29.39배  l  262원,"2.15배  l  3,575원",0.44%,,,,,
CMG제약 *,3525.0,20.0,-0.56%,3525.0,3535.0,357312.0,1254.0,341395.0,2021-11-25,CMG제약,058820,,,,,,,,,,,,,,,,,"4,903  억원",코스닥 176위,138892244,500원  l  1주,138892244,9046395,6.51%,N/A  l  N/A,"7,100  l  3,460",,N/A  l  N/A,,,86.54배,+0.10%,882.50배  l  4원,"2.66배  l  1,329원",,,,,,
퓨쳐켐 *,17750.0,100.0,-0.56%,17850.0,17900.0,38028.0,676.0,60128.0,2021-11-25,퓨쳐켐,220100,,,,,,,,,,,,,,,,,"2,422  억원",코스닥 407위,13645971,500원  l  1주,13645971,257430,1.89%,N/A  l  N/A,"25,900  l  13,000",,N/A  l  N/A,,,86.54배,+0.10%,"N/A  l  -1,239원","4.46배  l  3,977원",,,,,,
대한약품 *,29550.0,200.0,-0.67%,29500.0,29550.0,4496.0,133.0,5571.0,2021-11-25,대한약품,023910,420.0,68.0,,16.19,,,,,,,,33725.0,0.88,,,,"1,770  억원",코스닥 581위,6000000,500원  l  1주,6000000,975106,16.25%,"4.00매수  l  40,000","45,850  l  29,000",,N/A  l  N/A,,,86.54배,+0.10%,"10.61배  l  2,780원","0.90배  l  32,921원",1.36%,,,,,
우진비앤지 *,2085.0,15.0,-0.71%,2065.0,2070.0,124669.0,259.0,151586.0,2021-11-25,우진비앤지,018620,,,,,,,,,,,,,,,,,602  억원,코스닥 1270위,28889293,500원  l  1주,28889293,794771,2.75%,N/A  l  N/A,"3,515  l  1,985",,N/A  l  N/A,,,86.54배,+0.10%,N/A  l  -99원,"1.85배  l  1,128원",,,,,,
코스맥스비티아이,13850.0,100.0,-0.72%,13900.0,13950.0,19484.0,273.0,14053.0,2021-11-25,코스맥스비티아이,044820,,,,,,,,,,,,,,,,,"1,330  억원",코스피 740위,9603921,500원  l  1주,9603921,446022,4.64%,N/A  l  N/A,"21,550  l  13,750",,N/A  l  N/A,,,86.54배,+0.10%,168.90배  l  82원,"0.43배  l  32,330원",1.44%,,,,,
코미팜 *,8150.0,60.0,-0.73%,8120.0,8140.0,188766.0,1543.0,115961.0,2021-11-25,코미팜,041960,,,,,,,,,,,,,,,,,"5,225  억원",코스닥 165위,64185876,100원  l  1주,64185876,3120649,4.86%,N/A  l  N/A,"16,250  l  8,020",,N/A  l  N/A,,,86.54배,+0.10%,N/A  l  -67원,"7.07배  l  1,151원",,,,,,
카이노스메드 *,2660.0,20.0,-0.75%,2665.0,2670.0,113907.0,303.0,189859.0,2021-11-25,카이노스메드,284620,,,,,,,,,,,,,,,,,"2,809  억원",코스닥 346위,105401704,100원  l  1주,105401704,4015682,3.81%,N/A  l  N/A,"5,040  l  2,610",N/A  l  -122원,N/A  l  N/A,50.28배  l  53원,,86.54배,+0.11%,,,,,,,,
티움바이오 *,19000.0,150.0,-0.78%,18950.0,19000.0,52788.0,1004.0,75478.0,2021-11-25,티움바이오,321550,,,,,,,,,,,,,,,,,"4,526  억원",코스닥 198위,23821926,500원  l  1주,23821926,42595,0.18%,N/A  l  N/A,"29,650  l  15,300",N/A  l  -848원,N/A  l  N/A,"6.43배  l  2,956원",,86.54배,+0.10%,,,,,,,,
한국파마 *,47300.0,400.0,-0.84%,47300.0,47350.0,58818.0,2797.0,88463.0,2021-11-25,한국파마,032300,,,,,,,,,,,,,,,,,"5,170  억원",코스닥 166위,10906701,500원  l  1주,10906701,12544,0.12%,N/A  l  N/A,"94,800  l  20,100",,N/A  l  N/A,,,86.54배,+0.11%,94.61배  l  501원,"10.12배  l  4,686원",0.10%,,,,,
에이프로젠 H&G *,704.0,6.0,-0.85%,702.0,704.0,237601.0,167.0,296957.0,2021-11-25,에이프로젠 H&G,109960,,,,,,,,,,,,,,,,,"1,256  억원",코스닥 791위,178695217,500원  l  1주,178695217,1435899,0.80%,N/A  l  N/A,"1,245  l  627",,N/A  l  N/A,,,86.54배,+0.11%,87.88배  l  8원,"0.57배  l  1,242원",,,,,,
씨케이에이치 *,339.0,3.0,-0.88%,336.0,339.0,1099154.0,376.0,2218058.0,2021-11-25,씨케이에이치,900120,,,,,,,,,,,,,,,,,410  억원,코스닥 1403위,120449666,0.05 USD  l  1주,120449666,32938661,27.35%,N/A  l  N/A,579  l  210,7.39배  l  46원,N/A  l  N/A,"0.11배  l  3,187원",,105.31배,+0.10%,,,,,,,,
프레스티지바이오로직스 *,11100.0,100.0,-0.89%,10900.0,10950.0,163292.0,1787.0,122699.0,2021-11-25,프레스티지바이오로직스,334970,,,,,,,,,,,,,,,,,"5,216  억원",코스닥 167위,47206389,500원  l  1주,47206389,9661275,20.47%,N/A  l  N/A,"21,550  l  8,870","N/A  l  -1,133원",N/A  l  N/A,"4.46배  l  2,480원",,86.54배,+0.11%,,,,,,,,
신일제약 *,11000.0,100.0,-0.90%,10900.0,11000.0,20608.0,226.0,55429.0,2021-11-25,신일제약,012790,,,,,,,,,,,,,,,,,"1,234  억원",코스닥 804위,11217186,500원  l  1주,11217186,270305,2.41%,N/A  l  N/A,"27,385  l  10,550",,N/A  l  N/A,,,86.54배,+0.08%,23.71배  l  464원,"1.08배  l  10,200원",0.88%,,,,,
제일파마홀딩스,16350.0,150.0,-0.91%,16350.0,16400.0,3126.0,51.0,2013.0,2021-11-25,제일파마홀딩스,002620,,,,,,,,,,,,,,,,,"2,612  억원",코스피 529위,15973355,500원  l  1주,15973355,1521043,9.52%,N/A  l  N/A,"27,450  l  16,300",,N/A  l  N/A,,,86.54배,+0.10%,39.78배  l  411원,"0.61배  l  26,888원",0.43%,,,,,
한미사이언스,53900.0,500.0,-0.92%,53700.0,53800.0,52543.0,2834.0,59986.0,2021-11-25,한미사이언스,008930,,,,,,,,,,,,,,,,,"3조  6,344  억원",코스피 90위,67304611,500원  l  1주,67304611,1074095,1.60%,N/A  l  N/A,"96,600  l  53,600",118.94배  l  454원,N/A  l  N/A,"5.29배  l  10,208원",,86.54배,+0.08%,,,0.36%,,,,,
팜젠사이언스,10500.0,100.0,-0.94%,10450.0,10500.0,132629.0,1398.0,338485.0,2021-11-25,팜젠사이언스,004720,,,,,,,,,,,,,,,,,"1,552  억원",코스피 698위,14712933,500원  l  1주,14712933,299426,2.04%,N/A  l  N/A,"18,600  l  8,450",,N/A  l  N/A,,,86.54배,+0.10%,"6.09배  l  1,732원","1.42배  l  7,419원",,,,,,
종근당바이오,38300.0,400.0,-1.03%,38300.0,38350.0,7930.0,304.0,8624.0,2021-11-25,종근당바이오,063160,,,,,,,,,,,,,,,,,"2,107  억원",코스피 609위,5485962,"2,500원  l  1주",5485962,78600,1.43%,N/A  l  N/A,"119,000  l  38,000",,N/A  l  N/A,,,86.54배,+0.08%,"N/A  l  -1,227원","1.30배  l  29,501원",0.52%,,,,,
콜마비앤에이치 *,33650.0,350.0,-1.03%,33600.0,33650.0,20785.0,702.0,43662.0,2021-11-25,콜마비앤에이치,200130,1584.0,241.0,,15.21,,,,,,641.0,53.01,,,,,,"9,956  억원",코스닥 69위,29543558,500원  l  1주,29543558,824644,2.79%,"4.00매수  l  52,500","58,000  l  32,500","13.62배  l  2,474원",N/A  l  N/A,"2.81배  l  12,001원",,86.54배,+0.10%,,,0.95%,,,,,
삼일제약,7620.0,80.0,-1.04%,7610.0,7620.0,16015.0,122.0,27901.0,2021-11-25,삼일제약,000520,,,,,,,,,,,,,,,,,"1,032  억원",코스피 845위,13537283,500원  l  1주,13537283,256858,1.90%,N/A  l  N/A,"11,700  l  7,600",N/A  l  -100원,N/A  l  N/A,"1.37배  l  5,559원",,86.54배,+0.08%,,,0.98%,,,,,
일양약품,28650.0,300.0,-1.04%,28650.0,28700.0,64544.0,1857.0,72517.0,2021-11-25,일양약품,007570,,,,,,,,,,,,,,,,,"5,478  억원",코스피 345위,19085664,"2,500원  l  1주",19085664,1641555,8.60%,N/A  l  N/A,"84,300  l  28,250",,N/A  l  N/A,,,86.54배,+0.11%,48.48배  l  592원,"2.44배  l  11,785원",0.42%,,,,,
KPX생명과학 *,6400.0,70.0,-1.08%,6380.0,6390.0,50651.0,326.0,66161.0,2021-11-25,KPX생명과학,114450,,,,,,,,,,,,,,,,,960  억원,코스닥 976위,15000000,500원  l  1주,15000000,65985,0.44%,N/A  l  N/A,"18,200  l  6,420",N/A  l  -129원,N/A  l  N/A,"1.64배  l  3,909원",,86.54배,+0.11%,,,,,,,,
유유제약1우,9070.0,100.0,-1.09%,9030.0,9080.0,3741.0,33.0,2552.0,2021-11-25,유유제약1우,000225,,,,,,,,,,,,,,,,,206  억원,코스피 1244위,2266930,"1,000원  l  1주",2266930,44173,1.95%,N/A  l  N/A,"27,200  l  4,925",,N/A  l  N/A,,,86.54배,+0.10%,N/A  l  -52원,"1.37배  l  6,642원",1.21%,,,,,
