종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
267500,4,KBSTAR 미국장기국채선물인버스2X(합성 H),6070,2,40,0.66,,3.5193,9312,56,33,해외 주식,KBSTAR,True,False,True
284980,2,KBSTAR 200금융,8980,2,5,0.06,9005.0,3.339,1306,11,31,국내 업종/테마,KBSTAR,False,False,False
302170,6,TIGER 국채선물3년인버스,50585,3,0,0.0,50594.0,1.6886,0,0,30,채권,TIGER,True,False,False
301400,1,ARIRANG 코스닥150,14905,2,70,0.47,15062.0,2.771,337,5,30,국내 시장지수,ARIRANG,False,False,False
252720,2,KBSTAR 모멘텀밸류,14220,2,80,0.57,14110.0,-0.106,1,0,28,국내 업종/테마,KBSTAR,False,False,False
284990,2,KBSTAR 200에너지화학,12775,2,105,0.83,12782.0,-3.3563,140,1,26,국내 업종/테마,KBSTAR,False,False,False
397420,6,KBSTAR 국채선물5년추종,48875,5,-10,-0.02,48875.0,,4,0,23,채권,KBSTAR,False,False,False
285020,2,KBSTAR 200철강소재,8350,5,-115,-1.36,8359.0,-5.6825,8206,68,23,국내 업종/테마,KBSTAR,False,False,False
334700,5,KBSTAR 팔라듐선물인버스(H),5775,2,240,4.34,,10.479,3453,19,23,원자재,KBSTAR,True,False,True
287330,2,KBSTAR 200생활소비재,7755,5,-40,-0.51,7756.0,-7.7515,201,1,20,국내 업종/테마,KBSTAR,False,False,False
287310,2,KBSTAR 200경기소비재,10685,5,-120,-1.11,10684.0,-1.8174,12,0,15,국내 업종/테마,KBSTAR,False,False,False
287320,2,KBSTAR 200산업재,10670,5,-95,-0.88,10692.0,-12.975,44,0,13,국내 업종/테마,KBSTAR,False,False,False
